validation_loss,test_loss,unnormalised_test_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
2.381338119506836,2.3270251750946045,inf,0.7010846138000488,False,1,6c50b_00000,2025-01-27_15-03-16,1737986596,0.7010846138000488,115409,r10585,10.12.92.124,0.7010846138000488,1
2.300407886505127,2.3262436389923096,inf,0.03375077247619629,False,2,6c50b_00000,2025-01-27_15-03-16,1737986596,0.7348353862762451,115409,r10585,10.12.92.124,0.7348353862762451,2
2.3670778274536133,2.3254735469818115,inf,0.028632640838623047,False,3,6c50b_00000,2025-01-27_15-03-16,1737986596,0.7634680271148682,115409,r10585,10.12.92.124,0.7634680271148682,3
2.272442579269409,2.324650287628174,inf,0.028987646102905273,False,4,6c50b_00000,2025-01-27_15-03-16,1737986596,0.7924556732177734,115409,r10585,10.12.92.124,0.7924556732177734,4
2.2987852096557617,2.323943853378296,inf,0.028839826583862305,False,5,6c50b_00000,2025-01-27_15-03-16,1737986596,0.8212954998016357,115409,r10585,10.12.92.124,0.8212954998016357,5
2.307929039001465,2.323223352432251,inf,0.02935051918029785,False,6,6c50b_00000,2025-01-27_15-03-16,1737986596,0.8506460189819336,115409,r10585,10.12.92.124,0.8506460189819336,6
2.241070032119751,2.3223788738250732,inf,0.028188467025756836,False,7,6c50b_00000,2025-01-27_15-03-16,1737986596,0.8788344860076904,115409,r10585,10.12.92.124,0.8788344860076904,7
2.324978828430176,2.321584701538086,inf,0.028736114501953125,False,8,6c50b_00000,2025-01-27_15-03-16,1737986596,0.9075706005096436,115409,r10585,10.12.92.124,0.9075706005096436,8
2.3169403076171875,2.3207225799560547,inf,0.028492450714111328,False,9,6c50b_00000,2025-01-27_15-03-16,1737986596,0.9360630512237549,115409,r10585,10.12.92.124,0.9360630512237549,9
2.339752197265625,2.320020914077759,inf,0.0595095157623291,False,10,6c50b_00000,2025-01-27_15-03-16,1737986596,0.995572566986084,115409,r10585,10.12.92.124,0.995572566986084,10
2.3434853553771973,2.3191022872924805,inf,0.039218902587890625,False,11,6c50b_00000,2025-01-27_15-03-16,1737986596,1.0347914695739746,115409,r10585,10.12.92.124,1.0347914695739746,11
2.3622536659240723,2.318265914916992,inf,0.028087615966796875,False,12,6c50b_00000,2025-01-27_15-03-16,1737986596,1.0628790855407715,115409,r10585,10.12.92.124,1.0628790855407715,12
2.331357717514038,2.31738543510437,inf,0.029732227325439453,False,13,6c50b_00000,2025-01-27_15-03-16,1737986596,1.092611312866211,115409,r10585,10.12.92.124,1.092611312866211,13
2.327101707458496,2.316464424133301,inf,0.028287649154663086,False,14,6c50b_00000,2025-01-27_15-03-16,1737986596,1.120898962020874,115409,r10585,10.12.92.124,1.120898962020874,14
2.2520763874053955,2.315462589263916,inf,0.028693437576293945,False,15,6c50b_00000,2025-01-27_15-03-16,1737986596,1.149592399597168,115409,r10585,10.12.92.124,1.149592399597168,15
2.3493645191192627,2.314617872238159,inf,0.029410600662231445,False,16,6c50b_00000,2025-01-27_15-03-16,1737986596,1.1790030002593994,115409,r10585,10.12.92.124,1.1790030002593994,16
2.3025972843170166,2.313633918762207,inf,0.028418302536010742,False,17,6c50b_00000,2025-01-27_15-03-16,1737986596,1.2074213027954102,115409,r10585,10.12.92.124,1.2074213027954102,17
2.258793830871582,2.3127317428588867,inf,0.028737783432006836,False,18,6c50b_00000,2025-01-27_15-03-16,1737986596,1.236159086227417,115409,r10585,10.12.92.124,1.236159086227417,18
2.286426544189453,2.3117573261260986,inf,0.028781652450561523,False,19,6c50b_00000,2025-01-27_15-03-16,1737986596,1.2649407386779785,115409,r10585,10.12.92.124,1.2649407386779785,19
2.346920967102051,2.3108534812927246,inf,0.059453487396240234,False,20,6c50b_00000,2025-01-27_15-03-16,1737986596,1.3243942260742188,115409,r10585,10.12.92.124,1.3243942260742188,20
2.277827501296997,2.309826135635376,inf,0.036192893981933594,False,21,6c50b_00000,2025-01-27_15-03-17,1737986597,1.3605871200561523,115409,r10585,10.12.92.124,1.3605871200561523,21
2.2723443508148193,2.308866500854492,inf,0.028604984283447266,False,22,6c50b_00000,2025-01-27_15-03-17,1737986597,1.3891921043395996,115409,r10585,10.12.92.124,1.3891921043395996,22
2.307459831237793,2.307952642440796,inf,0.028618574142456055,False,23,6c50b_00000,2025-01-27_15-03-17,1737986597,1.4178106784820557,115409,r10585,10.12.92.124,1.4178106784820557,23
2.29026460647583,2.3070218563079834,inf,0.0283663272857666,False,24,6c50b_00000,2025-01-27_15-03-17,1737986597,1.4461770057678223,115409,r10585,10.12.92.124,1.4461770057678223,24
2.326357841491699,2.3060719966888428,inf,0.027527809143066406,False,25,6c50b_00000,2025-01-27_15-03-17,1737986597,1.4737048149108887,115409,r10585,10.12.92.124,1.4737048149108887,25
2.30306077003479,2.305014133453369,inf,0.02902841567993164,False,26,6c50b_00000,2025-01-27_15-03-17,1737986597,1.5027332305908203,115409,r10585,10.12.92.124,1.5027332305908203,26
2.289102077484131,2.303931951522827,inf,0.028465986251831055,False,27,6c50b_00000,2025-01-27_15-03-17,1737986597,1.5311992168426514,115409,r10585,10.12.92.124,1.5311992168426514,27
2.2797348499298096,2.3028430938720703,inf,0.02855539321899414,False,28,6c50b_00000,2025-01-27_15-03-17,1737986597,1.5597546100616455,115409,r10585,10.12.92.124,1.5597546100616455,28
2.261758327484131,2.3018929958343506,inf,0.027971267700195312,False,29,6c50b_00000,2025-01-27_15-03-17,1737986597,1.5877258777618408,115409,r10585,10.12.92.124,1.5877258777618408,29
2.305617570877075,2.3007619380950928,inf,0.06461882591247559,False,30,6c50b_00000,2025-01-27_15-03-17,1737986597,1.6523447036743164,115409,r10585,10.12.92.124,1.6523447036743164,30
2.274405002593994,2.299529790878296,inf,0.03934311866760254,False,31,6c50b_00000,2025-01-27_15-03-17,1737986597,1.691687822341919,115409,r10585,10.12.92.124,1.691687822341919,31
2.3045008182525635,2.298356294631958,inf,0.02872323989868164,False,32,6c50b_00000,2025-01-27_15-03-17,1737986597,1.7204110622406006,115409,r10585,10.12.92.124,1.7204110622406006,32
2.267064094543457,2.297247886657715,inf,0.028077125549316406,False,33,6c50b_00000,2025-01-27_15-03-17,1737986597,1.748488187789917,115409,r10585,10.12.92.124,1.748488187789917,33
2.2646121978759766,2.2962653636932373,inf,0.028764724731445312,False,34,6c50b_00000,2025-01-27_15-03-17,1737986597,1.7772529125213623,115409,r10585,10.12.92.124,1.7772529125213623,34
2.310709238052368,2.2951669692993164,inf,0.028371810913085938,False,35,6c50b_00000,2025-01-27_15-03-17,1737986597,1.8056247234344482,115409,r10585,10.12.92.124,1.8056247234344482,35
2.2805140018463135,2.29422664642334,inf,0.029605865478515625,False,36,6c50b_00000,2025-01-27_15-03-17,1737986597,1.8352305889129639,115409,r10585,10.12.92.124,1.8352305889129639,36
2.310157060623169,2.293090343475342,inf,0.028932809829711914,False,37,6c50b_00000,2025-01-27_15-03-17,1737986597,1.8641633987426758,115409,r10585,10.12.92.124,1.8641633987426758,37
2.275301456451416,2.292001485824585,inf,0.028446435928344727,False,38,6c50b_00000,2025-01-27_15-03-17,1737986597,1.8926098346710205,115409,r10585,10.12.92.124,1.8926098346710205,38
2.3759500980377197,2.2909812927246094,inf,0.028699398040771484,False,39,6c50b_00000,2025-01-27_15-03-17,1737986597,1.921309232711792,115409,r10585,10.12.92.124,1.921309232711792,39
2.3294689655303955,2.2898406982421875,inf,0.06437230110168457,False,40,6c50b_00000,2025-01-27_15-03-17,1737986597,1.9856815338134766,115409,r10585,10.12.92.124,1.9856815338134766,40
2.2320358753204346,2.288806915283203,inf,0.04087519645690918,False,41,6c50b_00000,2025-01-27_15-03-17,1737986597,2.0265567302703857,115409,r10585,10.12.92.124,2.0265567302703857,41
2.27325439453125,2.287787437438965,inf,0.031052827835083008,False,42,6c50b_00000,2025-01-27_15-03-17,1737986597,2.0576095581054688,115409,r10585,10.12.92.124,2.0576095581054688,42
2.2209126949310303,2.286593437194824,inf,0.030278444290161133,False,43,6c50b_00000,2025-01-27_15-03-17,1737986597,2.08788800239563,115409,r10585,10.12.92.124,2.08788800239563,43
2.2922208309173584,2.285183906555176,inf,0.030153274536132812,False,44,6c50b_00000,2025-01-27_15-03-17,1737986597,2.1180412769317627,115409,r10585,10.12.92.124,2.1180412769317627,44
2.2639033794403076,2.2839248180389404,inf,0.028316259384155273,False,45,6c50b_00000,2025-01-27_15-03-17,1737986597,2.146357536315918,115409,r10585,10.12.92.124,2.146357536315918,45
2.2408270835876465,2.2828032970428467,inf,0.02962636947631836,False,46,6c50b_00000,2025-01-27_15-03-17,1737986597,2.1759839057922363,115409,r10585,10.12.92.124,2.1759839057922363,46
